GenerationNumberTermination,X,Y,TotalIterations,Stations,Drones,MTSPIteration,GeneticIteration,BestDistance,Genetic,TimeTaken
50,0,0,1852,5,1,2,4,2223.6064760040285,2223.606514380264,9259.071
50,0,0,1820,5,1,2,3,2223.6064760040285,2223.606519166341,7067.6603
50,0,0,1878,5,1,2,2,2223.6064760040285,2223.6065487886635,5583.7819
50,0,0,1772,5,1,2,1,2223.6064760040285,2223.606485527922,5673.4518
50,0,0,1880,5,1,2,0,2223.6064760040285,2223.6074860932554,6223.2269
800,0,0,30044,5,1,3,9,1894.8997763641732,1894.899778333537,180325.6297
800,0,0,30082,5,1,3,8,1894.8997763641732,1894.8997910832888,194938.7781
800,0,0,30124,5,1,3,7,1894.8997763641732,1894.8997763641735,191994.9865
800,0,0,30022,5,1,3,6,1894.8997763641732,1894.899804036333,192181.8806
800,0,0,30134,5,1,3,5,1894.8997763641732,1894.899777451866,182867.0942
800,0,0,29854,5,1,3,4,1894.8997763641732,1894.8997767998512,205790.5345
800,0,0,29770,5,1,3,3,1894.8997763641732,1894.8997763863867,190097.7456
800,0,0,29984,5,1,3,2,1894.8997763641732,1894.8997763641735,199921.0939
800,0,0,30178,5,1,3,1,1894.8997763641732,1894.8997766774453,198327.0083
800,0,0,29792,5,1,3,0,1894.8997763641732,1894.8997969791637,207114.0367
400,0,0,14976,5,1,3,9,1894.8997763641732,1894.8997769604919,97710.9401
400,0,0,14934,5,1,3,8,1894.8997763641732,1894.8997763641735,94817.0111
400,0,0,15076,5,1,3,7,1894.8997763641732,1894.899778515496,98287.7409
400,0,0,14970,5,1,3,6,1894.8997763641732,1894.8997819097322,93801.5867
400,0,0,14874,5,1,3,5,1894.8997763641732,1894.8997771720587,95296.2535
400,0,0,14986,5,1,3,4,1894.8997763641732,1894.8997763641732,85754.3451
400,0,0,14772,5,1,3,3,1894.8997763641732,1894.899776493413,92578.0042
400,0,0,15056,5,1,3,2,1894.8997763641732,1894.8997763641735,105876.2233
400,0,0,14958,5,1,3,1,1894.8997763641732,1894.8997763641732,89618.5246
400,0,0,14904,5,1,3,0,1894.8997763641732,1894.899778333537,100677.4732
200,0,0,7570,5,1,3,9,1894.8997763641732,1894.8997763641735,51460.9895
200,0,0,7480,5,1,3,8,1894.8997763641732,1894.899776493413,50303.5463
200,0,0,7394,5,1,3,7,1894.8997763641732,1894.8998311743596,51223.1691
200,0,0,7372,5,1,3,6,1894.8997763641732,1894.899804036333,49150.5722
200,0,0,7354,5,1,3,5,1894.8997763641732,1894.899828504116,47248.3256
200,0,0,7472,5,1,3,4,1894.8997763641732,1894.8997904036762,51074.5226
200,0,0,7378,5,1,3,3,1894.8997763641732,1894.8997769604919,47025.6886
200,0,0,7448,5,1,3,2,1894.8997763641732,1894.8997953662306,50384.529
200,0,0,7448,5,1,3,1,1894.8997763641732,1894.8999100926733,52343.412
200,0,0,7390,5,1,3,0,1894.8997763641732,1894.8998046174634,42422.9111
100,0,0,3730,5,1,3,9,1894.8997763641732,1894.8997859261203,20746.8396
100,0,0,3664,5,1,3,8,1894.8997763641732,1894.8998097947579,17115.8174
100,0,0,3682,5,1,3,7,1894.8997763641732,1894.8999908238748,16852.8071
100,0,0,3706,5,1,3,6,1894.8997763641732,1894.8997941234613,19552.9423
100,0,0,3746,5,1,3,5,1894.8997763641732,1894.8997789769692,18155.9997
100,0,0,3682,5,1,3,4,1894.8997763641732,1894.8997946900024,17777.496
100,0,0,3754,5,1,3,3,1894.8997763641732,1894.8997953662306,11996.2933
100,0,0,3716,5,1,3,2,1894.8997763641732,1894.8997763641735,13799.7466
100,0,0,3730,5,1,3,1,1894.8997763641732,1894.8997824037733,14626.6547
100,0,0,3738,5,1,3,0,1894.8997763641732,1894.8998097608765,14885.6475
50,0,0,1858,5,1,3,9,1894.8997763641732,1894.899778333537,4705.9156
50,0,0,1908,5,1,3,8,1894.8997763641732,1894.9002736348884,6088.8378
50,0,0,1904,5,1,3,7,1894.8997763641732,1894.8999323123473,5356.9886
50,0,0,1828,5,1,3,6,1894.8997763641732,1894.8998934665078,6081.7078
50,0,0,1836,5,1,3,5,1894.8997763641732,1894.8998110530124,5572.322
50,0,0,1872,5,1,3,4,1894.8997763641732,1894.899896389551,7388.4122
50,0,0,1760,5,1,3,3,1894.8997763641732,1894.899785589463,4670.989
50,0,0,1842,5,1,3,2,1894.8997763641732,1894.900131939184,5831.9204
50,0,0,1812,5,1,3,1,1894.8997763641732,1894.8997786761788,5659.6359
50,0,0,1860,5,1,3,0,1894.8997763641732,1894.899944,6395.1229
800,0,0,29832,5,1,4,9,2842.0536369212014,2842.053636921202,199067.6297
800,0,0,30070,5,1,4,8,2842.0536369212014,2842.0536369993847,206806.5721
800,0,0,30126,5,1,4,7,2842.0536369212014,2842.053636938543,199764.2038
800,0,0,30090,5,1,4,6,2842.0536369212014,2842.0536369212014,201744.3826
800,0,0,30196,5,1,4,5,2842.0536369212014,2842.053636926402,176329.1203
800,0,0,30002,5,1,4,4,2842.0536369212014,2842.053636921202,193417.2708
800,0,0,29872,5,1,4,3,2842.0536369212014,2842.053636921202,202715.8663
800,0,0,30058,5,1,4,2,2842.0536369212014,2842.0536369212014,193345.1843
800,0,0,30188,5,1,4,1,2842.0536369212014,2842.0536369993847,199814.7129
800,0,0,29946,5,1,4,0,2842.0536369212014,2842.053636938543,192767.9133
400,0,0,15070,5,1,4,9,2842.0536369212014,2842.053636922358,103039.5056
400,0,0,14980,5,1,4,8,2842.0536369212014,2842.053636921202,91017.2055
400,0,0,14882,5,1,4,7,2842.0536369212014,2842.053636922358,114279.0851
400,0,0,14996,5,1,4,6,2842.0536369212014,2842.053636922358,109173.6653
400,0,0,15020,5,1,4,5,2842.0536369212014,2842.0536369212014,108263.1839
400,0,0,14864,5,1,4,4,2842.0536369212014,2842.0536372534634,92609.7998
400,0,0,14962,5,1,4,3,2842.0536369212014,2842.0536540273915,106928.0197
400,0,0,14896,5,1,4,2,2842.0536369212014,2842.053636938543,88628.6029
400,0,0,14892,5,1,4,1,2842.0536369212014,2842.053637271941,102835.7743
400,0,0,14962,5,1,4,0,2842.0536369212014,2842.053690022939,95845.3789
200,0,0,7472,5,1,4,9,2842.0536369212014,2842.0536369605693,51002.2448
200,0,0,7394,5,1,4,8,2842.0536369212014,2842.053639370581,53601.432
200,0,0,7426,5,1,4,7,2842.0536369212014,2842.0536392701383,46928.2477
200,0,0,7500,5,1,4,6,2842.0536369212014,2842.053636921202,53479.5394
200,0,0,7432,5,1,4,5,2842.0536369212014,2842.053636921202,47428.9955
200,0,0,7452,5,1,4,4,2842.0536369212014,2842.053636973218,48734.7225
200,0,0,7438,5,1,4,3,2842.0536369212014,2842.0536369993847,50357.7531
200,0,0,7450,5,1,4,2,2842.0536369212014,2842.0536372534634,49679.4054
200,0,0,7488,5,1,4,1,2842.0536369212014,2842.053665616739,40872.1155
200,0,0,7486,5,1,4,0,2842.0536369212014,2842.0536454898343,39761.2167
100,0,0,3670,5,1,4,9,2842.0536369212014,2842.053637029533,16000.5236
100,0,0,3690,5,1,4,8,2842.0536369212014,2842.0536855435857,14705.0961
100,0,0,3718,5,1,4,7,2842.0536369212014,2842.0536372725282,15193.7805
100,0,0,3758,5,1,4,6,2842.0536369212014,2842.0536371087346,18137.1415
100,0,0,3744,5,1,4,5,2842.0536369212014,2842.053639470094,16736.9481
100,0,0,3726,5,1,4,4,2842.0536369212014,2842.0536453250384,16613.7842
100,0,0,3690,5,1,4,3,2842.0536369212014,2842.053724149806,12380.3648
100,0,0,3716,5,1,4,2,2842.0536369212014,2842.053636922358,12250.0384
100,0,0,3702,5,1,4,1,2842.0536369212014,2842.053639094945,12467.3932
100,0,0,3710,5,1,4,0,2842.0536369212014,2842.053636921202,11241.5898
50,0,0,1872,5,1,4,9,2842.0536369212014,2842.0546988536994,4772.245
50,0,0,1838,5,1,4,8,2842.0536369212014,2842.0536497713247,5558.0988
50,0,0,1852,5,1,4,7,2842.0536369212014,2842.0556160825804,5628.7766
50,0,0,1878,5,1,4,6,2842.0536369212014,2842.0566567870565,4334.6339
50,0,0,1840,5,1,4,5,2842.0536369212014,2842.053637108735,7707.4921
50,0,0,1822,5,1,4,4,2842.0536369212014,2842.054028798292,5281.4228
50,0,0,1866,5,1,4,3,2842.0536369212014,2842.0536388586393,5971.1322
50,0,0,1862,5,1,4,2,2842.0536369212014,2842.053636938543,3750.5121
50,0,0,1838,5,1,4,1,2842.0536369212014,2842.053665,4441.7093
50,0,0,1904,5,1,4,0,2842.0536369212014,2842.0538385425793,5409.724
800,0,0,29833,5,1,5,9,1063.754446297751,1063.7544506631953,208386.2261
800,0,0,29893,5,1,5,8,1063.754446297751,1063.7544462977512,175102.3287
800,0,0,30037,5,1,5,7,1063.754446297751,1063.7544462977512,192956.681
800,0,0,29985,5,1,5,6,1063.754446297751,1063.7544462977512,181411.9995
800,0,0,30241,5,1,5,5,1063.754446297751,1063.7544469374823,190916.7669
800,0,0,30089,5,1,5,4,1063.754446297751,1063.7544462977512,198894.2194
800,0,0,29865,5,1,5,3,1063.754446297751,1063.7544462977512,205228.4689
800,0,0,29853,5,1,5,2,1063.754446297751,1063.7544462977512,193895.8415
800,0,0,29945,5,1,5,1,1063.754446297751,1063.754448209176,209096.2497
800,0,0,30063,5,1,5,0,1063.754446297751,1063.754446297751,202714.7233
400,0,0,14941,5,1,5,9,1063.754446297751,1063.7544462977512,96985.4685
400,0,0,14977,5,1,5,8,1063.754446297751,1063.754447930735,106897.7742
400,0,0,14887,5,1,5,7,1063.754446297751,1063.7544462977512,104163.4024
400,0,0,14989,5,1,5,6,1063.754446297751,1063.754447930735,100879.0818
400,0,0,14945,5,1,5,5,1063.754446297751,1063.7544486587703,96766.0821
400,0,0,14991,5,1,5,4,1063.754446297751,1063.754446405253,107504.4163
400,0,0,15007,5,1,5,3,1063.754446297751,1063.7544463275296,101430.721
400,0,0,14801,5,1,5,2,1063.754446297751,1063.754456267182,94955.4195
400,0,0,14975,5,1,5,1,1063.754446297751,1063.7544593701007,106859.9867
400,0,0,14845,5,1,5,0,1063.754446297751,1063.754448209176,103394.0763
200,0,0,7493,5,1,5,9,1063.754446297751,1063.7544495202883,46569.7371
200,0,0,7433,5,1,5,8,1063.754446297751,1063.7544622710057,50767.4619
200,0,0,7305,5,1,5,7,1063.754446297751,1063.7544656103244,45190.5693
200,0,0,7499,5,1,5,6,1063.754446297751,1063.7544656103244,50159.8248
200,0,0,7535,5,1,5,5,1063.754446297751,1063.754448209176,44481.9881
200,0,0,7483,5,1,5,4,1063.754446297751,1063.7544468651952,43426.1539
200,0,0,7521,5,1,5,3,1063.754446297751,1063.754447930735,41601.2805
200,0,0,7487,5,1,5,2,1063.754446297751,1063.754448330541,34747.9233
200,0,0,7577,5,1,5,1,1063.754446297751,1063.7544463275296,37042.3209
200,0,0,7399,5,1,5,0,1063.754446297751,1063.7544501934447,33548.2502
100,0,0,3759,5,1,5,9,1063.754446297751,1063.754471088024,16507.3373
100,0,0,3667,5,1,5,8,1063.754446297751,1063.7544495202883,15845.1396
100,0,0,3629,5,1,5,7,1063.754446297751,1063.7544537616968,14224.0056
100,0,0,3617,5,1,5,6,1063.754446297751,1063.754449520288,12922.8181
100,0,0,3711,5,1,5,5,1063.754446297751,1063.7544510054636,12397.5479
100,0,0,3737,5,1,5,4,1063.754446297751,1063.7544656103244,12762.0572
100,0,0,3819,5,1,5,3,1063.754446297751,1063.7544468651952,11538.5488
100,0,0,3743,5,1,5,2,1063.754446297751,1063.754454746565,12238.2346
100,0,0,3767,5,1,5,1,1063.754446297751,1063.754448330541,13897.034
100,0,0,3747,5,1,5,0,1063.754446297751,1063.754446297751,12450.6693
50,0,0,1851,5,1,5,9,1063.754446297751,1063.754446405253,5241.701
50,0,0,1851,5,1,5,8,1063.754446297751,1063.754446405253,3702.1687
50,0,0,1839,5,1,5,7,1063.754446297751,1063.7544615123627,3590.457
50,0,0,1867,5,1,5,6,1063.754446297751,1063.754491764027,4609.0616
50,0,0,1881,5,1,5,5,1063.754446297751,1063.7545225751198,5071.0603
50,0,0,1865,5,1,5,4,1063.754446297751,1063.7545107283663,4423.6813
50,0,0,1897,5,1,5,3,1063.754446297751,1063.7544506631953,5044.2796
50,0,0,1847,5,1,5,2,1063.754446297751,1063.7544661641978,4596.1141
50,0,0,1901,5,1,5,1,1063.754446297751,1063.7544462977512,3806.2188
50,0,0,1868,5,1,5,0,1063.754446297751,1063.754606305282,3325.1227
800,0,0,29838,5,1,6,9,2572.785297754173,2572.785297754173,189827.2082
800,0,0,29952,5,1,6,8,2572.785297754173,2572.7852977541734,185592.6918
800,0,0,29950,5,1,6,7,2572.785297754173,2572.785297754173,189726.1244
800,0,0,30348,5,1,6,6,2572.785297754173,2572.7852977541734,197723.1565
800,0,0,29748,5,1,6,5,2572.785297754173,2572.7852977541734,186241.3099
800,0,0,30040,5,1,6,4,2572.785297754173,2572.7852977541734,211381.5564
800,0,0,30030,5,1,6,3,2572.785297754173,2572.785297793562,203135.1557
800,0,0,29840,5,1,6,2,2572.785297754173,2572.7852977541734,194938.1594
800,0,0,29980,5,1,6,1,2572.785297754173,2572.785297754173,193043.7919
800,0,0,29908,5,1,6,0,2572.785297754173,2572.785297754173,213688.8893
400,0,0,14850,5,1,6,9,2572.785297754173,2572.7853103784814,99443.1243
400,0,0,15000,5,1,6,8,2572.785297754173,2572.7852977541734,100893.5437
400,0,0,14894,5,1,6,7,2572.785297754173,2572.7852977541734,97529.1092
400,0,0,14940,5,1,6,6,2572.785297754173,2572.785329283904,83176.5022
400,0,0,15022,5,1,6,5,2572.785297754173,2572.7852977541734,101995.9329
400,0,0,14970,5,1,6,4,2572.785297754173,2572.785297754173,106855.8763
400,0,0,14898,5,1,6,3,2572.785297754173,2572.7852977541734,107104.6489
400,0,0,14918,5,1,6,2,2572.785297754173,2572.785298848336,95470.0606
400,0,0,14848,5,1,6,1,2572.785297754173,2572.785297754173,107538.088
400,0,0,15062,5,1,6,0,2572.785297754173,2572.785329283904,92011.9769
200,0,0,7410,5,1,6,9,2572.785297754173,2572.785297754173,49603.1819
200,0,0,7454,5,1,6,8,2572.785297754173,2572.785298368379,55367.537
200,0,0,7504,5,1,6,7,2572.785297754173,2572.7853021992064,56351.4498
200,0,0,7540,5,1,6,6,2572.785297754173,2572.785299457701,47592.2997
200,0,0,7386,5,1,6,5,2572.785297754173,2572.7852977541734,41086.0275
200,0,0,7474,5,1,6,4,2572.785297754173,2572.7853757723215,36232.4729
200,0,0,7340,5,1,6,3,2572.785297754173,2572.7852977541734,36189.6467
200,0,0,7408,5,1,6,2,2572.785297754173,2572.785297754173,32662.7258
200,0,0,7374,5,1,6,1,2572.785297754173,2572.7853035075277,31324.6972
200,0,0,7474,5,1,6,0,2572.785297754173,2572.785297754173,26181.3171
100,0,0,3718,5,1,6,9,2572.785297754173,2572.7852977541734,14047.0875
100,0,0,3700,5,1,6,8,2572.785297754173,2572.7852977541734,11558.9917
100,0,0,3682,5,1,6,7,2572.785297754173,2572.785336378926,7848.647
100,0,0,3678,5,1,6,6,2572.785297754173,2572.7853379365506,11474.5624
100,0,0,3702,5,1,6,5,2572.785297754173,2572.785374446653,11775.6798
100,0,0,3698,5,1,6,4,2572.785297754173,2572.7855352109054,10616.0567
100,0,0,3692,5,1,6,3,2572.785297754173,2572.7852977541734,11394.0192
100,0,0,3694,5,1,6,2,2572.785297754173,2572.7853011685365,10471.9084
100,0,0,3662,5,1,6,1,2572.785297754173,2572.7852977541734,10144.8115
100,0,0,3738,5,1,6,0,2572.785297754173,2572.7852977541734,10678.6419
50,0,0,1800,5,1,6,9,2572.785297754173,2572.785440824966,4145.2462
50,0,0,1848,5,1,6,8,2572.785297754173,2572.7860235820926,3411.4682
50,0,0,1864,5,1,6,7,2572.785297754173,2572.7883620435987,3715.4017
50,0,0,1822,5,1,6,6,2572.785297754173,2572.785298848336,2740.8979
50,0,0,1894,5,1,6,5,2572.785297754173,2572.786211330191,3651.1524
50,0,0,1850,5,1,6,4,2572.785297754173,2572.785449562801,2718.893
50,0,0,1832,5,1,6,3,2572.785297754173,2572.7853064391925,5224.3616
50,0,0,1914,5,1,6,2,2572.785297754173,2572.7852977541734,3434.6477
50,0,0,1850,5,1,6,1,2572.785297754173,2572.7853439762234,3081.8682
50,0,0,1892,5,1,6,0,2572.785297754173,2572.785297754173,2973.6762
800,0,0,29908,5,1,7,9,1205.071390417027,1205.071395,198312.3081
800,0,0,30098,5,1,7,8,1205.071390417027,1205.071391480531,199919.7748
800,0,0,29982,5,1,7,7,1205.071390417027,1205.0713969582446,200586.3992
800,0,0,29914,5,1,7,6,1205.071390417027,1205.0713904793133,195133.082
800,0,0,29830,5,1,7,5,1205.071390417027,1205.0713944656309,204540.3021
800,0,0,29962,5,1,7,4,1205.071390417027,1205.0713916420364,198513.876
800,0,0,29962,5,1,7,3,1205.071390417027,1205.0713907058134,195223.2431
800,0,0,29852,5,1,7,2,1205.071390417027,1205.0713921758081,206875.3334
800,0,0,29832,5,1,7,1,1205.071390417027,1205.0713943710107,200713.6646
800,0,0,30176,5,1,7,0,1205.071390417027,1205.0713904170273,189371.4427
400,0,0,14940,5,1,7,9,1205.071390417027,1205.0714040383666,98809.7304
400,0,0,14912,5,1,7,8,1205.071390417027,1205.0713924915624,90450.6021
400,0,0,15128,5,1,7,7,1205.071390417027,1205.0714001170413,88886.5489
400,0,0,15012,5,1,7,6,1205.071390417027,1205.0713910804006,108536.132
400,0,0,15054,5,1,7,5,1205.071390417027,1205.0713926246542,103574.6206
400,0,0,15020,5,1,7,4,1205.071390417027,1205.0714040383668,101708.3424
400,0,0,14884,5,1,7,3,1205.071390417027,1205.0714689555482,101742.1943
400,0,0,14960,5,1,7,2,1205.071390417027,1205.0713949677133,101568.0728
400,0,0,14910,5,1,7,1,1205.071390417027,1205.0713910692127,105311.4168
400,0,0,15026,5,1,7,0,1205.071390417027,1205.0713921758081,91149.9294
200,0,0,7496,5,1,7,9,1205.071390417027,1205.0714487442183,49465.1919
200,0,0,7394,5,1,7,8,1205.071390417027,1205.0713924915624,48941.8468
200,0,0,7566,5,1,7,7,1205.071390417027,1205.0713910692127,41955.9958
200,0,0,7462,5,1,7,6,1205.071390417027,1205.0713907058137,37284.6327
200,0,0,7558,5,1,7,5,1205.071390417027,1205.0713905207576,32670.8164
200,0,0,7446,5,1,7,4,1205.071390417027,1205.071392,29426.433
200,0,0,7452,5,1,7,3,1205.071390417027,1205.071407198433,25086.6212
200,0,0,7402,5,1,7,2,1205.071390417027,1205.0713943710107,22954.4038
200,0,0,7534,5,1,7,1,1205.071390417027,1205.0715496953424,23285.3625
200,0,0,7460,5,1,7,0,1205.071390417027,1205.0713904793133,23591.8005
100,0,0,3704,5,1,7,9,1205.071390417027,1205.0713933758757,9069.3304
100,0,0,3664,5,1,7,8,1205.071390417027,1205.071391480531,6974.8208
100,0,0,3660,5,1,7,7,1205.071390417027,1205.0714443503857,8618.7116
100,0,0,3744,5,1,7,6,1205.071390417027,1205.0713921758081,10742.1008
100,0,0,3658,5,1,7,5,1205.071390417027,1205.0713910692125,10773.7129
100,0,0,3802,5,1,7,4,1205.071390417027,1205.0714106112937,9523.123
100,0,0,3738,5,1,7,3,1205.071390417027,1205.0714891120906,9112.2319
100,0,0,3720,5,1,7,2,1205.071390417027,1205.0713910692125,7732.3145
100,0,0,3646,5,1,7,1,1205.071390417027,1205.072025,7285.7809
100,0,0,3770,5,1,7,0,1205.071390417027,1205.0714333627366,7645.9601
50,0,0,1842,5,1,7,9,1205.071390417027,1205.071419018038,3550.077
50,0,0,1838,5,1,7,8,1205.071390417027,1205.071514732931,2865.8521
50,0,0,1860,5,1,7,7,1205.071390417027,1205.0714008025557,3041.3922
50,0,0,1832,5,1,7,6,1205.071390417027,1205.0713907058137,2374.37
50,0,0,1862,5,1,7,5,1205.071390417027,1205.0713969582446,3506.5438
